geolocation_sk,geo_hash,country,region,city,latitude,longitude,isp
33,8D41C1B0E77F889C1F9EFF2F2A184E27C5217771B3FD29E48E9C55667A173886,Argentina,Cordoba,Villa Carlos Paz,-31.399900436401367,-64.51429748535156,Telecom Argentina S.A.
34,FD0137709A57187BDF13F3096163E61DBFCC839280140DCEE6212EF6D2630FA8,Argentina,Cordoba,Villa Dolores,-31.93160057067871,-65.20010375976562,Telecom Argentina S.A.
35,E236A0ABFC5356BD92EE6C033CCE2D85AFFCEFA4245A4A692B8DAB384CCAEFD5,Argentina,Formosa,Clorinda,-25.283000946044922,-57.713401794433594,Telefonica de Argentina
36,81453E26196F904B8277EC35B47C1831143583A4FAC7F549000EAE3F8745ED14,Argentina,La Pampa,Santa Rosa,-36.61920166015625,-64.27970123291016,"Coop. Popular de Elec., Obras y Servicios Pub. de Santa Rosa LTDA"
37,32ADB7F123FD0136395F8B3AFAECE6B92A5A519CD2CA26581F60517BD22B3751,Argentina,Mendoza,Departamento de Capital,-32.884700775146484,-68.8582992553711,Telefonica de Argentina
38,DF6D0914956A54CD017D5EBCF56A8108E1E3ED8C48B122C1C00F60135B275763,Argentina,Mendoza,La Colonia,-33.4375,-68.4625015258789,Telefonica de Argentina
39,A5D2535954F9061856EA0E0866C7C1415E82FAD9A89113033E823A544674ACA5,Argentina,Mendoza,Las Heras,-32.849998474121094,-68.81670379638672,Telefonica de Argentina
40,44733DFCB4CE8CE48615E22A41D8D75610D6C0337AC9BA633E2E7545E8EFB0CF,Argentina,Mendoza,Mendoza,-32.88169860839844,-68.8125,Telefonica de Argentina
41,03AE8D2537A13800FFE2F927FA8A42A7181DE45FF9EA90290511431773A41C7E,Argentina,Mendoza,San Martin,-33.06529998779297,-68.47119903564453,Telefonica de Argentina
42,3A21A58F60FB2B0F7974DA4162CDEF0A93BE02B9CFE5EDA39F3B77CAA5E8D2E1,Argentina,Misiones,Obera,-27.483400344848633,-55.14139938354492,Telecom Argentina S.A.
43,AF0BACDC7400D069F0E2A3281DA76369E35B3A13953619973FF94DE2A8604208,Argentina,Misiones,Posadas,-27.38330078125,-55.88330078125,Gigared S.A.
44,BC2FD77D8E63521E4A4C9EBA55E40475B7E53B35A3CB5C3A10B41966DD7E9B44,Argentina,Neuquen,Centenario,-38.801300048828125,-68.1344985961914,Neunet S.A.
45,CB101311B2A737AED5F22B04CBB00ACD42791097079F055C830282EC136628FE,Argentina,Neuquen,Cutral-Có,-38.92919921875,-69.23100280761719,Telefonia Publica y Privada S.A.
46,CD3161A8CAB5F27F3CC4F7E4B4845383C4666E74651E6A07F173575C210AADCF,Argentina,Neuquen,Neuquén,-38.95240020751953,-68.06420135498047,Neunet S.A.
47,28D80ED248B399842260CFAB4C5500A89389D122C351AA072B478FCD2CCB6420,Argentina,Salta,Orán,-23.13610076904297,-64.3230972290039,Telecom Argentina S.A.
48,0205E614B67F785EE16EFE4B8FBCC870E1C7CC1476F4A8DFDF1743FDD9E9DC0D,Argentina,Salta,Salta,-24.783100128173828,-65.41110229492188,Telecom Argentina S.A.
49,96818CFD1D38F78EC81C35376455BDF6C349836C384E0145D3F477E2C170E508,Argentina,Salta,Tartagal,-22.36549949645996,-63.49760055541992,Telecom Argentina S.A.
50,1AF0C1382D35E0D0FF22F160975D1BB02E2CEDDF62EBC593BE53BBB985D37930,Argentina,San Juan,San Juan,-31.53529930114746,-68.53099822998047,Telefonica de Argentina
51,C77E80BF61875B4A127C0ACC2E7261D5C24F0ADCD5B0D2D49D5B21D1D982374E,Argentina,San Juan,Santa Lucia,-31.53700065612793,-68.48380279541016,Telefonica de Argentina
52,12EBE9DCC42C57B0E4232BA967826576A982A2174BAF402183B1D28A50CFB054,Argentina,Santa Fe,Gobernador Crespo,-30.380399703979492,-60.41419982910156,Telecom Argentina S.A.
53,36F6BA1FEC1B5BCFC778FB33BECAFFB159D05714E7047C6B2CE60572C0BD6848,Argentina,Santa Fe,Rosario,-33.01559829711914,-60.61579895019531,Universidad Nacional de Rosario
54,A99340115C45BA3D7F3301D73881CC4EDFC14C8929624B99D9416BF8D71937A3,Argentina,Santa Fe,Rosario,-32.95399856567383,-60.66339874267578,Telecom Argentina S.A.
55,C5FFF95F615CD725DC306710A4AB1CDCF8DD1BC355BCFCB9717E2062A8675C73,Argentina,Santa Fe,Santa Fe,-31.638399124145508,-60.69300079345703,Telecom Argentina S.A.
56,DB3E92DFF34DEBEFBD4E10D8CDDA6CEC742B422C620C8B30BA784EAD453C690C,Argentina,Tucuman,San Miguel de Tucumán,-26.81599998474121,-65.21540069580078,Telecom Argentina S.A.
57,2A3BF55759C3448D5C2DF6CD48D66D00FAA2CF76D36BB385C5260EC105ACC79F,Argentina,Tucuman,Yerba Buena,-26.797700881958008,-65.34880065917969,Telecom Argentina S.A.
58,A821107B3A7993BC849D2290D81B513E83117ECAB0F62E95C7E2AEBCF10A8EF7,Argentina,Unknown,Unknown,-34.60219955444336,-58.384498596191406,Velconet SA
59,291C44E69B931E2BC02448634317EDC494C45E8934BBF172EDB9F3156ACCB84A,Armenia,Yerevan,Yerevan,40.181400299072266,44.51020050048828,Institute for Informatics and Automation Problems of National Academy of Sciences of the Rep
60,7B2D798E1D66E361D9F15FFE2F5119ECE423748A249AF2E8A7B4131A9C5E2150,Australia,Australian Capital Territory,Canberra,-35.282798767089844,149.1282958984375,Microsoft Corporation
61,4C44C5BC22EF17B1CE99037CA9892252F7BDB3B72C5F770912B2B9052A0403E0,Australia,Australian Capital Territory,Canberra,-35.2494010925293,149.1699981689453,Department of Employment and Workplace Relations
62,DA7990998555BA933D75BC8ADFD3CB078E89DBEAB4C5546DB3B87EE03CBCA866,Australia,New South Wales,Campbelltown,-33.93769836425781,150.78819274902344,Exetel Pty Ltd
63,4444F4459B1688EF86F24BA3DD276F5C637C04D743DBF13F8A036C61FAD205CB,Australia,New South Wales,Newcastle,-32.985599517822266,151.72369384765625,Microplex PTY LTD
64,875D4D8A93E0DB4016AB8E0295A67FE025F6DBD6A71FDD632CA28AFF655A7EC3,Australia,New South Wales,Sydney,-33.90739822387695,151.15609741210938,TPG Telecom Limited
65,31AEBF6F00167644C86D9A07AFB8283C1721389EB77B983A19D3504EFF110E5C,Australia,New South Wales,Sydney,-33.90620040893555,151.210693359375,SingTel Optus Pty Ltd
66,6A117293F608344EB4C095D4F50F582C3AFA0762C1303DCF51C2B8F554DCB24A,Australia,New South Wales,Sydney,-33.89139938354492,151.1654052734375,NSW Department of Education
67,1B4E94FD8DCF4BC983ECFABA11423F5298C64104C9B79B3B9FEC7A7CA0FED548,Australia,New South Wales,Sydney,-33.86970138549805,151.08270263671875,TPG Telecom Limited
68,F86C22699FC22C03720BD400A1CA3FD46E6529DFE0E3AB15393DB11197F37D1C,Australia,New South Wales,Sydney,-33.868099212646484,151.1967010498047,Telstra Limited
69,5B7029130368113429CA8CEDD9C9DD99D95EE94D2EBD230D95830651B0E51990,Australia,New South Wales,Sydney,-33.8671989440918,151.19970703125,TPG Telecom Limited
70,F9829CE938A09288AB9AD8160D8FA05E8E75E83491AEBF71DCDC2CCF2DA0ED0A,Australia,New South Wales,Sydney,-33.865299224853516,151.1020965576172,Vodafone Australia Pty Ltd
71,2423AD61B816F7DE60FFCC0F0AE80FEAF28E5A7CDABEACF5A0E39F0E75380E8A,Australia,New South Wales,Sydney,-33.8031005859375,151.22259521484375,Microplex PTY LTD
72,CFFC61BCBE2E0D14B400DBB045E42E91F9EAEDCFC8FD0ADE591608EF6B63DFB4,Australia,New South Wales,Sydney,-33.783599853515625,151.16200256347656,Microplex PTY LTD
73,F6C7B90A1FDC64E164306CE435EC7BEFB5A89CE7A2318675B1E1982E4DCA8D94,Australia,New South Wales,Sydney,-33.7776985168457,151.01170349121094,Telstra Limited
74,F4D723A828F2036AA840E21372C1B9C8C59FEF8EF899B7FE31E49C51F332C066,Australia,New South Wales,Sydney,-33.737701416015625,150.99310302734375,Microplex PTY LTD
75,538EA30FFBEC11014D94431A4C1D2C5C2F38B7AF4987608290BC0465E66DD4A4,Australia,Queensland,Brisbane,-27.599599838256836,153.07989501953125,Telstra Limited
76,46978FC16B1B72A5AE48A2F2B68F28BBAD120677844121871A67DBB2E6728F65,Australia,Queensland,Brisbane,-27.588699340820312,153.1309051513672,Microplex PTY LTD
77,14AE7358E853B384B11809ACA2D0C35E17C5E3CCCADFA4F19C8C22D8C7084DD6,Australia,Queensland,Brisbane,-27.48080062866211,153.039794921875,Microplex PTY LTD
78,7B069F6ED73F0AAD98E794E83442DC1E01F8CA90F190CAD0C49E8B145A643075,Australia,Queensland,Brisbane,-27.468299865722656,153.03219604492188,TPG Telecom Limited
79,3FEBC3A99295312E6DC703B9D5594ECA191443AEFB5DAC2D4E1819AE91AC6DE8,Australia,Queensland,Brisbane,-27.37779998779297,152.99769592285156,Launtel
80,605B0BD04573B48EEEF3E8778AF1964394CAFB705C106E279C80B96C9F41B1E5,Australia,Queensland,Sunshine Coast,-26.796199798583984,153.1501007080078,Telstra Limited
81,1C086C24B1650066E087D52BBBB6CA6BD167DAE39A2ABFAC37E01DDB80357EDE,Australia,Queensland,Townsville,-19.302200317382812,146.7978057861328,Telstra Limited
82,C86BD9F65F9723F5FA777BD71F407FAF916C943FD3FF2C63DA7CDE34CBF777CF,Australia,South Australia,Adelaide,-34.98899841308594,138.6002960205078,TPG Telecom Limited
83,1D03B2BAD4FA3223B095996F5B10BE11135EBBB1168582ADE05AB89F58A8C83B,Australia,South Australia,Adelaide,-34.94260025024414,138.61349487304688,TPG Telecom Limited
84,B3E8E69FF30B6118340FEB03C0731D2D6E9CE708D7791294E5AFC0233CA81B43,Australia,South Australia,Adelaide,-34.90079879760742,138.60169982910156,Adelaide University
85,5E412E7C6E28128C066CB922B59BEE3749CBAC09462E1F7C1EA0206540BC8CE7,Australia,Unknown,Unknown,-33.49399948120117,143.2104034423828,Unknown
86,82C7F2D8D3A265953FA51B080CBC3B38882C8A05A42DE44FB6DD30109C17D2DE,Australia,Victoria,Geelong,-38.1078987121582,144.34080505371094,Neighbourhood Cable
87,75B40B4D54E8BCCE9D52DF5B9A275BFA9009A5BE15ECE2FED37D249DB21EE4A6,Australia,Victoria,Melbourne,-37.9911994934082,145.1739044189453,Telstra Limited
88,1D371F6796C0CDCDF0AD71D1838FA49665D679101DA0633F8D9E9B2B3B048019,Australia,Victoria,Melbourne,-37.86470031738281,145.02789306640625,Telstra Limited
89,4E496B547A8BAF45F35A2BB2086542E0AA90F9CB1F7C9B79B1EFDC46EAC420DA,Australia,Victoria,Melbourne,-37.86259841918945,144.96890258789062,Vodafone Australia Pty Ltd
90,E59E5EC0ABE0493EE5B7DD3E363A694B42255E5C2E961E13CBEB3D1E95A3BA56,Australia,Victoria,Melbourne,-37.836299896240234,144.6595001220703,Telstra Limited
91,53D77736BEC80305D349B796D36EC288A3061BB4C9632D725DD39CAAD0E3B999,Australia,Victoria,Melbourne,-37.81589889526367,144.96690368652344,Exetel Pty Ltd
92,B0454E34721D2DAF28F6B7EBF76B3893DF35EAF5E6D26C4934AAAB2224C013B2,Australia,Victoria,Melbourne,-37.81340026855469,145.31869506835938,Telstra Limited
93,E5F0E0B3AE839E404E234759C76824FB24F083C21C76431EDCBD79338FD1253A,Australia,Western Australia,Ellenbrook,-31.77050018310547,115.97740173339844,Telstra Limited
94,34E5CEFC4FB5BC1381947AEDFA677BB0D201E0811C6F36A9757A89BC19A7FE79,Australia,Western Australia,Perth,-32.06660079956055,115.78720092773438,Exetel Pty Ltd
95,F835C5A533339218525CA9CFAB5204453577596845DA1AFE1764F644044D4B3D,Australia,Western Australia,Perth,-31.947399139404297,115.86479949951172,Telstra Limited
96,8B141571A09C3636BB7577ACEED029081776457E2D594C26B5792C2DAE5ADA7F,Australia,Western Australia,Perth,-31.81100082397461,115.8468017578125,University of Western Australia
97,0BBE3E08C9DBE12A0EB4F4A4B0055D90D7173DBB76B7AF38CBDC1D04A798CA6A,Australia,Western Australia,Perth,-31.804899215698242,115.76349639892578,Telstra Limited
98,CC39409C9876E3C3B8DADB5F27E46B12F90E8C71DAFD74D4F352880A5BAAFCF3,Australia,Western Australia,Rockingham,-32.277099609375,115.73280334472656,TPG Telecom Limited
99,26B4FE2B125019E008F36870CEDD0447788DC92948C3F45B5509BF52CF6CCEF2,Australia,Western Australia,Unknown,-31.947399139404297,115.86479949951172,Telstra Limited
100,9AAF140FBED913BFBCF8B8BCB8D43C4DB981CB0DB430E7E2C2E0E158CFA9D5EA,Austria,Carinthia,Klagenfurt,46.64789962768555,14.353099822998047,Telekom Austria
101,8E74186D4BACE0A9A20D8913C45D22A32ACBE204E3C8E010189FD4D510CDB8C8,Austria,Unknown,Unknown,48.20479965209961,16.38010025024414,Telekom Austria
102,3EAD7A1449BC59E71FCEE1A65FC6193B8E7C6F85E8AB3AEDD2E37FF0200A581C,Austria,Upper Austria,Linz,48.30739974975586,14.28499984741211,Telekom Austria
103,36A6809D9F1F86D735E0790F3D60FD883879AD5969A0B561E2114F3854A643A6,Belarus,Brest,Brest,52.0900993347168,23.6835994720459,Republican Unitary Telecommunication Enterprise Beltelecom
104,6A3B4B79C5AD58EAA18535A666CA830988E6353E0674E9F1544057ADFC368DF0,Belgium,Brussels Capital,Brussels,50.85110092163086,4.313199996948242,Proximus NV
105,051EA2E443613BC455BA18B7F254775ACA74D064373EE5169C7386676A804B00,Belgium,Brussels Capital,Brussels,50.85340118408203,4.3470001220703125,Proximus NV
106,E9A0906DB1AB905BB4B0892454BDCFA2845106F20828CF48D936132C76386DC6,Belgium,Flanders,Antwerp,51.24610137939453,4.452099800109863,Proximus NV
107,A0C7F30C8074EECFE75EA5DE8F850ABE9DD432D53812B559BFD8CF9E1B5BFDEC,Belgium,Flanders,Geel,51.164100646972656,4.988399982452393,BELNET
108,071E5EE07923E1BA775F7C2BEC29EE0792A4096B8BDC240CA7034F65EE9E6769,Belgium,Flanders,Ghent,51.047000885009766,3.720599889755249,Proximus NV
109,B1607175BAA7248CFBD3F3E4A6F0E6938144DB087FCFB90C0B62D619431DFCFA,Belgium,Flanders,Kalmthout,51.382999420166016,4.478700160980225,Telenet BV
110,C751577C9028E2DC3328FD2442003E42171879DC3C8493ED876E9B02CF393149,Belgium,Flanders,Sint-Niklaas,51.16210174560547,4.145899772644043,Telenet BV
111,750D0524221066D3853AE2FEE082FD02AED74BB8EB61014AA118A499FD8FEE41,Belgium,Wallonia,Blégny,50.668701171875,5.696599960327148,Orange Belgium SA
112,BDE6CD8884C59F8F2EB5B0C726AFCAF0B90D82D2C7DFB98E5C29F5ABEBE74C16,Belgium,Wallonia,Braives,50.62009811401367,5.129899978637695,Orange Belgium SA
113,A52D8531020945DA971EDC329F8427F6BB4CFE708D47A3D57A7D3253B9F7370B,Belgium,Wallonia,Carnières,50.44559860229492,4.251399993896484,Proximus NV
114,5262891F371CC0E787B2A3CAABACE46F08472BDE1074EAEF45CBF1AD8800110E,Belgium,Wallonia,Gilly,50.42850112915039,4.47790002822876,Orange Belgium SA
115,CE92A66ABF064833C6E205674C0CA55D034115A808BBF736D1A837B2540A8313,Belgium,Wallonia,La Louvière,50.452598571777344,4.0960001945495605,Proximus NV
116,4342FF7E1FD369E9DDBC6C5D21A2CB782B10469C4F27219C5DEB5FF455F88C02,Belgium,Wallonia,La Louvière,50.485599517822266,4.1894001960754395,Proximus NV
117,F67AFAD8C5A3D59313DF4323E11AD1864BAB176ABA1A4BCC965B3817754F310E,Belgium,Wallonia,Liège,50.63370132446289,5.567500114440918,Proximus NV
118,E0D2C0DE22676950019E2FE51C35A8913C448C94180AD1BD2CCE5AE6CC10F457,Belgium,Wallonia,Seraing,50.583900451660156,5.50029993057251,Proximus NV
119,D19DBB2DF73FC593BF8F077B7AA103EE7CC84CF60999ED16C016659AE5D88897,Bolivia,La Paz Department,La Paz,-16.500200271606445,-68.14929962158203,Cotel Ltda.
120,FE92F6A3AA7D732D5D37DF044518FD3CB6048EB81364B18739C60D709CA587BE,Bolivia,Unknown,Unknown,-17.0,-65.0,Nuevatel PCS de Bolivia S.A.
121,2BC15AD84A89FBA3DC761470C3D60BB0A2C65D0ECBB37303B83C2AD93069A91C,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Tuzla,44.54169845581055,18.661399841308594,BH Telecom d.d. Sarajevo
122,E6D5EC4EF07157822D2971054D623347A20B273A258345E5443B9A27F5A08E7F,Bosnia and Herzegovina,Republika Srpska,Banja Luka,44.7760009765625,17.199499130249023,Telekomunikacije Republike Srpske akcionarsko drustvo Banja Luka
123,F28A498AED70515964805CAC51A48E7CBFF470CB863068DA37B997023C134C20,Botswana,Gaborone,Gaborone,-24.643699645996094,25.91119956970215,Botswana Telecommunications Corporation
124,6F74ACB01E71D3C596F568FDF4FF596A1A7C52F17073DB14C27C4BB4E405FF90,Brazil,Amazonas,Manaus,-3.1031999588012695,-60.02880096435547,Unknown
125,D8B13928BFFED719B315BEA7704A4745DFABF6CBC1235E8894B6DD89F978D3B0,Brazil,Bahia,Salvador,-12.866499900817871,-38.485801696777344,TELEFONICA BRASIL S.A
126,CC1E0C9C9EAC917EBB561201237F29446359E2A44C0F617E92FB44D55B34C462,Brazil,Bahia,Teixeira de Freitas,-17.532100677490234,-39.737998962402344,Unknown
127,A368FC0B9167A9F403EB1EE7A010FD9CF5D49BE418AA60DC658F615C1150C61A,Brazil,Federal District,Brasília,-15.779800415039062,-47.933101654052734,TELEFONICA BRASIL S.A
128,73FD7CCB9B2E183EA103B1A4691AD9373BA49CC6D04CB0E7A0A66E3B9AD0B4E1,Brazil,Goiás,Anápolis,-16.28860092163086,-49.01639938354492,ALGAR TELECOM S/A
129,14FD0B8983D695A3E7A52DB2B649880B4822613749B8331C2F72B4895C12031A,Brazil,Goiás,Goiânia,-16.680200576782227,-49.25640106201172,Claro NXT Telecomunicacoes Ltda
130,CE519A3960982369CDCF20180A9F69F4668E47C9558A25CD525FC2B180DBC957,Brazil,Goiás,Goiânia,-16.63909912109375,-49.26219940185547,TELEFONICA BRASIL S.A
131,27C6F41AB96943907CD6623B0BF89DF44BA1F6439A80CF5ADC8144C7E049BBEC,Brazil,Maranhão,São Luís,-2.6494998931884766,-44.30440139770508,Unknown
132,5A11315F0331A4D92E5CA9CF2815B9E69C8B712E0E594F992DFC6584A5340E4F,Brazil,Minas Gerais,Belo Horizonte,-19.92180061340332,-43.9359016418457,V tal
133,3428312F0FA8ED9A0BA6B5755B8F416B4BF1B35C63EC1133E23EC1E2C5E54A04,Brazil,Minas Gerais,Ituiutaba,-19.013700485229492,-49.549598693847656,ALGAR TELECOM S/A
134,2578A30957620B67F11332F07097BFB308B0216990BC01D7F9BF8F4EB45076DA,Brazil,Minas Gerais,Nova Lima,-20.07349967956543,-43.89569854736328,ALGAR TELECOM S/A
135,33F59DBBC5AA83165BA556485A7F4121C22C7DC54EC61CA598358B752E991C06,Brazil,Minas Gerais,Ribeirão das Neves,-19.77039909362793,-44.063899993896484,TELEFONICA BRASIL S.A
136,1A63DB070422525B1ED42EE28E1F906C13BADFE86755E69093F4334140FDFD90,Brazil,Paraíba,João Pessoa,-7.171199798583984,-34.861698150634766,Alares Cabo Servicos de Telecomunicacoes S.A.
137,822DF7C1489C9570ABC3133E072B8CDC6E67147082C5965D13253B07B20ED230,Brazil,Paraná,Curitiba,-25.42020034790039,-49.27619934082031,Claro S/A
138,C0D5BE3F0F1CD5014D87AE16B1EE8CD6D6FA9741830E83293D4B1F86F11C264F,Brazil,Paraná,Londrina,-23.31279945373535,-51.15959930419922,TELEFONICA BRASIL S.A
139,0394972175E4B290694A9CC044398B565EAFB8E6BC79B8166B10619D0EB927D9,Brazil,Paraná,Pinhais,-25.44529914855957,-49.199501037597656,Claro NXT Telecomunicacoes Ltda
140,ACB8D0D8AFF58D9D5E886A5C7824AD198DEDD816C354E14ECA99915E284E7C24,Brazil,Paraná,Ponta Grossa,-25.090700149536133,-50.16529846191406,V tal
141,B1BB7C85C282D1AA593B6D3C8E5CC449663B8094DA73C8FF69E940D2FF8798D3,Brazil,Pernambuco,Recife,-8.000900268554688,-34.86869812011719,Rede Nacional de Ensino e Pesquisa
142,2622105E11544DC9BFDEE9E5EC071B3FDBA97F37CDD7510F3B7470FC034E4F96,Brazil,Piauí,Teresina,-5.305099964141846,-42.85020065307617,TELEFONICA BRASIL S.A
143,BCDFC6A92B98C1FE16253CEA31AED526B87BC410590081D4C2702B653A27D9BE,Brazil,Rio de Janeiro,Niterói,-22.88960075378418,-43.10540008544922,Unknown
144,9A01F75232E82F4AA070B961A14377C1F011F85D4545BDD5A8C7D51176136BB2,Brazil,Rio de Janeiro,Rio de Janeiro,-22.92009925842285,-43.08110046386719,TELEFONICA BRASIL S.A
145,395883D2E555D756D4FBA71A9F980EA8476A5C19DE254B38DF87287B1B8C6095,Brazil,Rio de Janeiro,Rio de Janeiro,-22.90719985961914,-43.18830108642578,Claro NXT Telecomunicacoes Ltda
146,1A3180953EE4F15789C3B67F545A257E2720E001B5537EFF5495883CFE013DF0,Brazil,Rio Grande do Sul,Caxias do Sul,-29.172000885009766,-51.178199768066406,V tal
147,CAA517A1E2FF395AEB2050558782B25F790A2726AC63E729B69159403F6603E4,Brazil,Rio Grande do Sul,Porto Alegre,-30.118799209594727,-51.167999267578125,V tal
148,30DA0B1E3103260F68654CEBE0C8E1A10BBE3925ACFEB8629D9D826075694E62,Brazil,Rio Grande do Sul,Porto Alegre,-30.027299880981445,-51.23529815673828,V tal
